title,description,pubDate,link,originallink
"아이오아이, 워너원 만났다더니…유연정 &quot;신경 많이 썼는데 매력 잘 와...","글로벌 흥행을 거둔 로맨틱 코미디 영화 'Some Like It Hot(뜨거운 것이 좋아)'을 현대적으로 재해석한 가운데, 유연정은 이상적인 사랑을 꿈꾸는 보컬리스트 '슈가' 역을 맡아 열연을 펼쳤다. 유연정은 그간 다수의 뮤지컬... ",2025-12-15T22:31:00+09:00,https://m.entertain.naver.com/article/312/0000740363,https://www.tenasia.co.kr/article/2025121537084
"This Hanukkah, We Need the Light of Hope","Give me the counterfactual that makes it impossible to fall into despair, that will keep me from... I need the reminder, small as it may be, that we must not succumb to the darkness. And here it... ",2025-12-15T22:28:00+09:00,https://www.nytimes.com/2025/12/15/opinion/hanukkah-attack-sydney-australia.html?partner=naver,https://www.nytimes.com/2025/12/15/opinion/hanukkah-attack-sydney-australia.html?partner=naver
국방부 SW 납품 비리 53억 가로챈 일당 적발…3명 구속기소,검찰은 또 범죄수익 세탁에 가담한 IT 업체 관계자 등 10명을 범죄수익은닉규제법 위반 등 혐의로 불구속... 이 과정에서 발생한 차액은 '기술지원비' 명목으로 가장해 유령 IT 업체나 하청업체 등 10여 곳을 거쳐 세탁된... ,2025-12-15T22:28:00+09:00,https://www.onews.tv/news/articleView.html?idxno=267979,https://www.onews.tv/news/articleView.html?idxno=267979
"GC녹십자, 세계 최초 알라질증후군 치료제 국내 출시","(LIV IT UP) 심포지엄'을 개최했다고 15일 밝혔다. 이 치료제는 세계 최초이자 국내 첫 알라질증후군 전용 치료제로, 현재 미국과 유럽, 아시아 국가에서 판매되고 있다. 이번 심포지엄은 대한소아소화기영양학회... ",2025-12-15T22:26:00+09:00,https://www.getnews.co.kr/news/articleView.html?idxno=853622,https://www.getnews.co.kr/news/articleView.html?idxno=853622
"BNK부산은행, 매축지마을서 ‘연말 사랑의 연탄나눔’ 봉사","부산은행 재능기부봉사대는 금융교육팀, 플로깅팀, 디지털IT팀, 글로벌팀, 문화예술팀 등 5개 팀으로 구성돼 있으며, 임직원의 자발적 참여를 바탕으로 지역 특성과 수요에 맞춘 사회공헌 활동을 꾸준히 이어오고 있다.... ",2025-12-15T22:24:00+09:00,https://www.cnbnews.com/news/article.html?no=767734,https://www.cnbnews.com/news/article.html?no=767734
SpaceX’s Next Big Launch Could Be an I.P.O.,"Going public could put it in the trillion-dollar club. Andrew here. We’ve got a lot of... That distinction may be clear in theoretical debates, but it frequently vanishes in the real world. A... ",2025-12-15T22:20:00+09:00,https://www.nytimes.com/2025/12/15/business/dealbook/spacex-ipo-trillion-musk.html?partner=naver,https://www.nytimes.com/2025/12/15/business/dealbook/spacex-ipo-trillion-musk.html?partner=naver
‘Don’t Feed the Pig’: The Anti-Corruption Call That Helped Topple a G...,"“It’s up to the people,” he said in an interview over the weekend. “We do not take it for granted.” The coalition’s aims are ambitious. It wants fresh elections and to break what it... ",2025-12-15T22:20:00+09:00,https://www.nytimes.com/2025/12/15/world/europe/bulgaria-corruption-protests-government.html?partner=naver,https://www.nytimes.com/2025/12/15/world/europe/bulgaria-corruption-protests-government.html?partner=naver
"(LEAD) Korea Zinc, U.S. seek to jointly invest in U.S. critical metals re...","In a subsequent press release, the company stated it had signed a strategic partnership with the... Smelter,&quot; it added. Washington is said to have pushed for the plant's construction and is... ",2025-12-15T22:16:00+09:00,https://n.news.naver.com/mnews/article/001/0015797341?sid=104,https://en.yna.co.kr/view/AEN20251215002551320?input=2106m
"뉴욕증시 프리뷰, 기술주 조정 속 미 주가 선물 상승...틸레이브랜즈·...",오라클은 지난주 한 주 동안 12.7% 급락했고 브로드컴도 7% 이상 하락하면서 S&amp;P500 정보기술(IT) 섹터는 2.3% 떨어졌다. 에드 야데니 야데니리서치 대표는 S&amp;P500의 이른바 '매그니피센트7'이 2026년에는 지금만큼의... ,2025-12-15T22:14:00+09:00,https://www.newspim.com/news/view/20251215001099,https://www.newspim.com/news/view/20251215001099
"KB손해보험, 자립준비청년 취·창업 지원사업 '런런챌린지' 5기 최종평가...","이번 5기 사업에서는 총 19명의 자립준비청년이 항공서비스, 광고기획, 생활체육, 사회복지, IT 및 금융업계 등 다양한 진로 분야에서 전문성을 강화하며 교육과정을 성공적으로 수료했다. 배드민턴 지도자를 희망한 한... ",2025-12-15T22:10:00+09:00,https://daily.hankooki.com/news/articleView.html?idxno=1310058,https://daily.hankooki.com/news/articleView.html?idxno=1310058
Hong Kong Media Tycoon’s Conviction Was Years in the Making,"But it was also heavy on serious political coverage slanted in favor of demands for more... It has vowed to uproot “soft resistance,” citing what officials see as signs of foreign subversion... ",2025-12-15T22:00:00+09:00,https://www.nytimes.com/2025/12/15/world/asia/hong-kong-jimmy-lai-tycoon-china.html?partner=naver,https://www.nytimes.com/2025/12/15/world/asia/hong-kong-jimmy-lai-tycoon-china.html?partner=naver
“5년 만에 30배 성장한 스테이블코인… 카드사 역할 여전히 유효” [여...,"다만, 그는 “QR 결제나 멀티커런시 상품 등에서도 기존 사업자들이 IT 기업에 비해 도입에 소극적이었던 사례를 돌아볼 필요가 있다”며 “스테이블코인은 디지털화가 가속되는 과정에서 결제 시장에 자연스럽게 흡수될... ",2025-12-15T21:58:00+09:00,http://www.fntimes.com/html/view.php?ud=2025121516110934699efc5ce4ae_18,http://www.fntimes.com/html/view.php?ud=2025121516110934699efc5ce4ae_18
